text,labels
"4 Menetapkan agar terdakwa dibebani biaya perkara sebesar Rp . 2 . 0 , - ( dua ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O 
Telah mendengar pembelaan dari terdakwa dan terdakwa yang pada pokoknya : ,O O O O O O O O O O O 
Memohon keringanan hukuman dari tuntutan Penuntut Umum ; ,O O O O O O O O 
Terdakwa adalah sebagai tulang punggung keluarga ; ,O O O O O O O 
"Menimbang , bahwa terdakwa didakwa dengan surat dakwaan Jaksa Penuntut Umum melanggar pasal 114 ayat ( 1 ) UU RI No . 35 tahun 2009 , jo pasal 112 ayat ( 1 ) UU RI No . 35 tahun 2009 , tentang Narkotika adalah sebagai berikut : ",O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O O O O 
Dakwaan ; ,O O 
Kesatu : ,O O 
"Bahwa ia terdakwa Agnes Tri Ahadi Als Anas , pada hari Selasa tanggal 24 Juli 2012 , sekitar pukul 19 . 0 wib atau setidak - tidaknya pada suatu waktu masih bulan Juli 2012 bertempat di Jl . KS . Tubun No . 34 Kel . Kota Bambu Selatan Kec . Palmerah Jakarta Barat , tepatnya didepan Klinik Citra , atau setidak - tidaknya pada suatu tempat tertentu yang masih termasuk dalam daerah Hukum Pengadilan Negeri Jakarta Barat yang berwenang memeriksa dan mengadili perkara ini , tanpa hak atau melawan hukum menawarkan untuk dijual , menjual , membeli , menerima , menjadi perantara dalam jual beli , menukar atau menyerahkan Narkotika Golongan I jenis Putaw , perbuatan mana terdakwa lakukan dengan cara sebagai berikut : ",O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"2 Pada awalnya hari Selasa tanggal 24 Juli 2012 , sekira pukul 17 . 30 wib , terdakwa tidak senghaja bertemu dengan temannya bernama : Sayuti ( DPO ) di Jl . Jati Baru Tanah Abang Jakarta Pusat kemudian Sayuti minta tolong pada terdakwa , dan memberikan uang sebesar Rp . 100 . 0 ( seratus ribu rupiah ) untuk dibelikan barang berupa Putaw sebanyak 2 ( dua ) paket ; ",O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN O O O O O O O O O O O O O B_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Selanjutnya terdakwa bersama Sayuti ( DPO ) pergi ke daerah Boncos Jl . Kiapang Kel . Kota Bambu , Kec . Palmerah Jakarta Barat sesampainya didaerah Boncos , Sayuti menunggu didepan gang , sedangkan terdakwa masuk untuk membeli barang berupa Putaw di Kiapang kemudian terdakwa menemui Sayuti yang sudah menunggu di depan jalan dan selanjutnaya terdakwa bersama Sayuti langsung menggunakan barang berupa putaw tersebut didaerah Kebon Kacang ; ",O O O B_DEFN O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN O O O O O O O O O O O O O O O O O B_DEFN O O O O O O O O O O B_DEFN O O O O O O O O O O 
"Kemudian setelah terdakwadan Sayuti mengkonsumsi barang berupa putaw Sayuti minta untuk dibelikan lagi barang berupa putaw kepada terdakwa dan langsung Sayuti memberikan uang sebesar Rp . 100 . 0 , - ( seratus ribu rupiah ) sebanyak 2 ( dua ) paket selanjutnya terdakwa pergi ke kiapang tempat pertama terdakwa membeli barang berupa putaw tersebut ; ",O O O B_DEFN O O O O B_DEFN O O O O O O O O O O O B_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Bahwa sekira jam 19 . 0 wib hari Selasa tanggal 24 Juli 2012 tepatnya di depan Klinik Citra Jl . KS . Tubun No . 39 Kel . Kota Bambu Selatan Jkarta Barat terdakwa dihadang dan ditangkap oleh beberapa orang yang mengaku dari Anggota Kepolisian , dan ketika dilakukan Pengeledahan badan terhadap diri terdakwa dalam selipan Celana ditemukan barang bukti berua 2 ( dua ) bungkus plastic klip bening Narkotika jenis putaw berat brutto 0 , 33 gramhari Senin tanggal 5 Maret 2012 sekitar pukul 8 . 0 wib bertempat di Jembatan Lima terdakwa menghubungi Andi ( DPO ) lewat Hp . CDMA Huawei Esia dan terdakwa bilang DI , ada sipen ( pasen ) mau beli ganja dan dijawab Andi ya , saya ( Andi ) bawain dan terdakwa bilang berapa harganya per 1 ( satu ) garis dan Andi Jawab harganya Rp . 500 . 0 , - setelah terdakwa setuju dengan harga tersebut kemudian terdakwa ketemu dengan Andi di Jl . Jembatan Lima Jakarta Barat ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3 ; ,O O 
"Setelah ketemu dengan Andi ( DPO ) kemudian Andi ( DPO ) memberikan bungkusan koran yang berisi ganja adapun pembayarannya ganja ini , terdakwa sanggupi setelah ganja ini laku terjual , kemudian ganja tersebut terdakwa bawa pulang dan terdakwa simpan diatas lemari yang terletak didalam rumah kontrakan . Kemudian sekitar pukul 12 . 5 wib datang beberapa polisi berpakaian preman untuk melakukan pengeledahan dan ditemukan barang bukti berupa 1 bungkus kertas Koran berisi narkotika jenis ganja dengan berat butto 90 gram dan 1 ( satu ) buah HP CDMA Huawei berikut simcard yang disita dari tangan kanan terdakwa ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa berdasarkan Berita Acara Pemeriksaan Laboratoris Kriminalistik No . Lab . 629 / NNF / 2012 tanggal 9 Maret 2012 yang menyimpulkan bahwa barang bukti berupa 1 bungkus kertas Koran berisikan daun - daun ganja kering dengan berat netto 82 gram adalah benar Ganja dan terdaftar dalam golongan I No . urut 8 Lampiran UU RI No . 35 tahun 2009 tentang narkotika ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O O O 
"Bahwa terdakwa menjual , membeli , menerima menjadi perantara dalam jual beli menukar atau menyerahkan narkotika golongan I tersebut tidak mendapat izin dari Menteri Kesehatan RI dan bertentangan dengan Undang - Undang yang berlaku ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Perbuatan tedakwa melanggar pasal 114 ( 1 ) Undang - Undang Republik Indonesia No . 35 tahun 2009 tentang Narkotika ; ,O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
Subsidair : ,O O 
Perbuatan terdakwa melanggar pasal 111 ( 1 ) Undang - Undang Repoblik Indonesia No . 35 tahun 2009 tentang Narkotika ; ,O O O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
"Menimbang , bahwa untuk selanjutnya untuk membuktikan dakwaannya Jaksa Penuntut Umum mengajukan saksi bernama : SUPRIYANTO , SH dan saksi ( anggota Polri ) , hadir dipersidangan yang pada pokoknya memberikan keterangan sebagai berikut ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Bahwa benar para saksi pada hari Senin tanggal 5 Maret 2012 sekitar pukul 9 . 0 wib saksi bersama tiem telah melakukan penggrebekan rumah di Jl . Pekapuran Raya No . 2 Rt . 9 / 4 Kel . Tanah Sereal Kec . Tambora Jakarta Barat , setelah itu saksi bersama tiem langsung menangkap terdakwa dan setelah melakukan penggeledahan terhadap terdakwa , lalu saksi bersama tiem 4menyita barang bukti dari genggaman tangan kanan terdakwa berupa 1 bungkus kertas Koran berisi ganja dengan berat netto 90 gram ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa atas keterangan para saksi tersebut telah diakui dan dibenarkan oleh terdakwa ; ",O O O O O O O O O O O O O O O 
"Menimbang , bahwa selanjutnya telah didengar keterangan terdakwa dipersidangan yang memberikan keterangan pada pokoknya sebagai berikut ; ",O O O O O O O O O O O O O O O O O 
Keterangan Terdakwa : ,O O O 
Bahwa benar terdakwa mengerti dakwaan Jaksa Penuntut Umum ; ,O O O O O O O O O 
Bahwa benar terdakwa dalam keadaan sehat jasmani maupun rohani ; ,O O O O O O O O O O 
Bahwa benar terdakwa ditangkap pada hari Senin tanggal 5 Maret 2012 sekitar pukul 9 . 0 wib karena kedapatan dan diketemukan barang bukti berupa ganja kering dirumah kontrakan terdakwa dan ganja tersebut terdakwa letakkan diatas lemari ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
Bahwa barang bukti ganja tersebut terdakwa dapatkan melalui pesan lewat telpon dengan sdr Andi ( DPO ) ganja tersebut rencananya terdakwa akan jual kembali ; ,O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , atas barang bukti yang diajukan dan diperlihatkan dipersidangan Terdakwa tidak menyangkal dan membenarkannya ; ",O O O O O O O O O O O O O O O O 
"Menimbang , bahwa berdasarkan fakta - fakta yang terungkap dipersidangan , maka unsure - unsur pasal yang telah didakwakan oleh Jaksa Penuntut Umum telah terbukti ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa tidak terdapat alasan pembenar serta alasan pemaaf yang dapat menghapuskan sifat melawan hukumnya , maka perbuatan yang dilakukan terdakwa dapat dipertanggung jawabkan perbuatannya ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa berdasarkan pertimbangan - pertimbangan tersebut diatas , Majelis berpendapat bahwa terdakwa telah terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana sebagaimana dalam dakwaan Jaksa Penuntut Umum , oleh karena itu terdakwa harus dijatuhi hukuman / pidana ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"5Menimbang , bahwa oleh karena terdakwa telah terbukti bersalah , maka kepadanya dibebankan untuk membayar biaya perkara ; ",O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa sebelum menjatuhkan pidana , Majelis akan mempertimbangkan hal - hal yang memberatkan dan yang meringankan hukuman bagi terdakwa ; ",O O O O O O O O O O O O O O O O O O O O O O 
Hal hal yang memberatkan : ,O O O O O 
Perbuatan terdakwa tidak mendukung program pemerintah dalam memberantas penyalahgunaan obat - obat terlarang ; ,O O O O O O O O O O O O O O 
Hal - hal yang meringankan : ,O O O O O O 
Terdakwa belum pernah dihukum ; ,O O O O O 
Terdakwa bersikap sopan dipersidangan ; ,O O O O O 
- Terdakwa mengakui terus terang perbuatannya ; ,O O O O O O O 
"Menimbang , bahwa dengan memperhatikan hal - hal yang telah Majelis Hakim pertimbangkan diatas , maka akhirnya Majelis sampai pada suatu kesimpulan bahwa yang akan dijatuhkan kepada terdakwa seperti tersebut dalam putusan ini merupakan suatu pidana yang dianggap adil dan bijaksana dan sesuai dengan rasa keadilan ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Memperhatikan pasal 114 ayat ( 1 ) UURI No . 35 tahun 2009 , tentang Narkotika ; ",O B_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV I_ARTV O 
"MENGADILI : 1 Menyatakan terdakwa : DERRY SUSANTO Als YANTO , tersebut diatas , terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana menawarkan untuk dijual menjual , membeli , menerima , menjadi perantara 6dalam jual beli , menukar atau menyerahkan narkotika golongan I dalam bentuk tanaman 2 Menjatuhkan pidana terhadap terdakwa DWI SEPTHIAN , dengan pidana penjara selama 4 ( empat ) tahundan 6 ( enam ) bulan serta dendasebesar Rp . 1000 . 0 . 0 , 0 - ( satu milyard rupiah ) dengan ketentuan apabila denda tersebut tidak dibayar , diganti dengan pidana 6 ( enam ) bulan penjara ; ",O O O O O O B_DEFN I_DEFN I_DEFN I_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_DEFN I_DEFN I_DEFN O O O O B_PUNI I_PUNI I_PUNI I_PUNI I_PUNI I_PUNI I_PUNI I_PUNI I_PUNI I_PUNI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
3 Menetapkan lamanya masa penahanan yang telah dijalani oleh terdakwa dikurangkan seluruhnya dari pidana yang telah dijatuhkan ; ,O O O O O O O O O O O O O O O O O O 
4 Memerintahkan agar terdakwa tetap di tahanan ; ,O O O O O O O O 
"5 Memerintahkan barang bukti berupa : 1 ( satu ) bungkus plastic klip bening berisikan Kristal warna putih dengan berat netto 0 , 2829 gram dan 1 ( satu ) buah hendpohone Nokia dirampas untuk dimusnahkan ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"6 Membebankan biaya perkara kepada para terdakwa sebesar Rp . 2 . 0 , - ( dua ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O 
"- Demikianlah diputus dalam permusyawaratan Majelis Hakim Pengadilan Negeri Jakarta Barat pada hari : Selasa , tanggal 4 September 2012 , oleh : ",O O O O O O O O O O O O O nan B_TIMV I_TIMV I_TIMV B_TIMV I_TIMV I_TIMV O O O 
"JOOTJE SAMPALENG , SH . , sebagai Hakim Ketua Majelis , AMBO MASSE , dan LONGSER SORMIN , SH . MH , masing - masingsebagai Hakim Anggota , putusan mana diucapkan dalam sidang yang terbuka untuk umum pada hari itu juga oleh Hakim Ketua tersebut , dengan dihadiri kedua Hakim Anggota yang sama , dibantuoleh : KESUMAWATI , SH . MH , sebagai Panitera Pengganti pada Pengadilan Negeri tersebut dihadapan : SUMINO , SH , Jaksa Penuntut Umum pada Kejaksaan Negeri Jakarta Barat , dan dihadiri oleh terdakwa . ",B_JUDP I_JUDP I_JUDP I_JUDP I_JUDP I_JUDP O O O O O B_JUDG I_JUDG I_JUDG O B_JUDG I_JUDG I_JUDG I_JUDG I_JUDG I_JUDG I_JUDG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_REGI I_REGI I_REGI I_REGI I_REGI I_REGI O O O O O O O O O B_PROS I_PROS I_PROS I_PROS O O O O O O O O O O O O O O 
PUTUSAN ,O 
Nomor 1368 / Pid . B / 2018 / PN Jkt . Pst DEMI KEADILAN BERDASARKAN KETUHANAN YANG MAHA ESA ,O B_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN O O O O O O O 
Pengadilan Negeri Jakarta Pusat yang mengadili perkara pidana dengan acara pemeriksaan biasa dalam tingkat pertama menjatuhkan putusan sebagai berikut dalam perkara Terdakwa : ,O O O O O O O O O O O O O O O O O O O O O O O 
1 . Nama lengkap : Barma Hudaya ; ,O O O O O B_DEFN I_DEFN O 
2 . Tempat lahir : Bandung ; ,O O O O O O O 
3 . Umur / Tanggal lahir : 51 tahun / 11 September 1967 ; ,O O O O O O O O O O O O O O 
4 . Jenis kelamin : Laki - laki ; ,O O O O O O O O O 
5 . Kebangsaan : Indonesia ; ,O O O O O O 
"6 . Tempat tinggal : Jl . Pramuka Rt . 9 / Rw . 1 , Kelurahan Sukamelang Kecamatan Subang Kabupaten Subang Jawa Barat ; ",O O O O O O O O O O O O O O O O O O O O O O O O O 
7 . Agama : Islam ; ,O O O O O O 
8 . Pekerjaan : Swasta Terdakwa ditangkap berdasarkan Surat Perintah Penahanan Penyidik tanggal 27 September 2018 ; ,O O O O O O O O O O O O O O O O O 
Terdakwa ditahan dalam Rumha Tahanan Negara oleh : ,O O O O O O O O 
1 . Penyidik sejak tanggal 28 September 2018 sampai dengan tanggal 17 Oktober 2018 ; ,O O O O O O O O O O O O O O O 
"2 . Penyidik , Perpanjangan Oleh Penuntut Umum sejak tanggal 18 Oktober 2018 sampai dengan tanggal 26 November 2018 ; ",O O O O O O O O O O O O O O O O O O O O 
3 . Penuntut Umum sejak tanggal 26 November 2018 sampai dengan tanggal 15 Desember 2018 ; ,O O O O O O O O O O O O O O O O 
4 . Hakim Pengadilan Negeri sejak tanggal 10 Desember 2018 sampai dengan tanggal 8 Januari 2019 ; ,O O O O O O O O O O O O O O O O O 
"5 . Hakim Pengadilan Negeri , Perpanjangan Oleh Ketua Pengadilan Negeri sejak tanggal 9 Januari 2019 sampai dengan tanggal 9 Maret 2019 ; ",O O O O O O O O O O O O O O O O O O O O O O O 
Terdakwa dipersidangan tidak didampingi oleh Penasehat Hukum dan menyatakan akan menghadapi perkara ini sendiri dipersidangan ; ,O O O O O O O O O O O O O O O O 
Pengadilan Negeri tersebut ; ,O O O O 
Setelah membaca : ,O O O 
tanggal 10 Desember 2018 tentang penunjukan Majelis Hakim ; ,O O O O O O O O O 
- Penetapan Majelis Hakim Nomor 1368 / Pid . B / 2018 / PN Jkt . Pst tanggal 10 Desember 2018 tentang penetapan hari sidang ; ,O O O O O B_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN I_VERN O O O O O O O O O 
- Berkas perkara dan surat - surat lain yang bersangkutan ; ,O O O O O O O O O O O 
"Setelah mendengar keterangan Saksi - saksi , dan Terdakwa serta memperhatikan barang bukti yang diajukan di persidangan ; ",O O O O O O O O O O O O O O O O O O 
Setelah mendengar pembacaan tuntutan pidana yang diajukan oleh Penuntut Umum yang pada pokoknya sebagai berikut : ,O O O O O O O O O O O O O O O O 
"1 . Menyatakan terdakwa Barma Hudaya terbukti secara sah dan meyakinkan bersalah melakukan tindak pidana Penggelapan dalam jabatan , melanggar Pasal 374 KUHP . ( Sebagaimana dakwaan Penuntut Umum ) ; ",O O O O B_DEFN I_DEFN O O O O O O O O O B_CRIA I_CRIA I_CRIA O O B_ARTV I_ARTV I_ARTV O O O O O O O O 
"2 . Menjatuhkan pidana penjara terhadap terdakwa Barma Hudaya selama 2 ( dua ) tahun dan 6 ( enam ) bulan dikurangi selama masa penahanan sementara , dengan perintah ditahan ; ",O O O O O O O B_DEFN I_DEFN O B_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA I_PENA O O O O O O O O O O 
3 . Menyatakan Barang bukti : ,O O O O O O 
- 1 ( satu ) lembar payment voucher PT . Sinar Puspa persada tanggal 29 Oktober 2015 ; ,O O O O O O O O O O O O O O O O O O 
"- 1 ( satu ) lembar foto copy Cek bank BCA No . BP 309694 tanggal 28 Oktober 2015 sebesar Rp . 8 . 268 . 0 , 0 ( delapan juta dua ratus enam puluh delapan ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"- 1 ( satu ) lembar foto copy Cek bank BCA No . BP 309693 tanggal 28 Oktober 2015 sebesar Rp . 1 . 242 . 900 . 0 , 0 ( satu milyar dua ratus empat puluh dua juta sembilan ratus ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
- 1 ( satu ) lembar order pembelian tanah Blok 8 2762 m2 atas nama Sata B . Samaan sejumlah Rp . 1 . 251 . 186 . 0 ; ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
- ( satu milyar dua ratus lima puluh satu juta seratus delapan puluh enamribu rupiah ) ; ,O O O O O O O O O O O O O O O O O 
- 1 ( satu ) lembar realisasi pembelian tanah atas nama Sopian W . SataB . Samaan 2762 m2 tanggal 29 Juni 2016 ; ,O O O O O O O O O O O O O O O O O O O O O O O O 
"- 1 ( satu ) lembar kwitansi dari PT . Sinar Puspa persada tertanggal 28 Juni 2016 unuk pelunasan pembelian tanah atas nama Sopian W , SataB . Samaan sebesar Rp . 1 . 242 . 900 . 0 , 0 ( satu milyar dua ratus empat puluh dua juta sembilan ratus ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"- 1 ( satu ) lembar kwitansi dari PT . Sinar Puspa persada tertanggal 28 Juni 2016 untuk fee Barma , pembelian tanah atas nama Sopian W , Sata B . Samaan sebesar Rp . 8 . 268 . 0 , 0 ( delapan juta dua ratus enam puluh delapan ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
- 1 ( satu ) lembar bukti jurnal PT . Sinar Puspa persada tanggal 13 Juli 2016 Tetap terlampir dalam berkas perkara ; ,O O O O O O O O O O O O O O O O O O O O O O O 
"4 . Membebankan terdakwa membayar biaya perkara sebesar Rp 2 . 0 , 0 ( dua ribu rupiah ) ; ",O O O O O O O O O O O O O O O O O O O O 
"Setelah mendengar pembelaan dan permohonan Terdakwa yang pada pokoknya mohon diberikan keringanan hukuman dengan alasan Terdakwa mengaku bersalah dan menyesal dan berjanji tidak akan mengulangi lagi perbuatannya , dan Terdakwa mempunyai tanggungan keluarga yang harus dinafkahinya ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Setelah mendengar tanggapan Penuntut Umum atas permohonan Terdakwa yang pada pokoknya menyatakan tetap dengan tuntutannya , dan telah mendengar pula tanggapan Terdakwa yang pada pokoknya tetap dengan permohonannya ; ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"Menimbang , bahwa Terdakwa diajukan ke persidangan oleh Penuntut Umum didakwa berdasarkan surat dakwaan sebagai berikut : ",O O O O O O O O O O O O O O O O O 
PRIMAIR ; ,O O 
"Bahwa Terdakwa Barma Hudaya pada kurun waktu dalam bulan Januar i sampai dengan September tahun 2017 , atau setidaknya pada suatu waktu yang masih dalamtahun 2017 , bertempat di Kantor PT . Sinar Puspa persada , Intiland Tower , Jl . Jendral Sudirman No . 32 , Rt . 3 / Rw . 2 , Karet Tengsin , Tanah Abang , Jakarta Pusat atau setidaknya pada suatu tempat yang masih termasuk dalam kewenangan Daerah Hukum Pengadilan Negeri Jakarta Pusat untuk memeriksa dan mengadili perkara ini , telah melakukan dengan sengaja dan melawan hukum memiliki barang sesuatu yang seluruhnya atau sebagian adalah kepunyaan orang lain yang dilakukan oleh orang yang penguasaanya terhadap barang disebabkan karena adanya hubungan kerja atau karena pencaharian atau karena mendapatkan upah untuk itu yang dilakukan oleh Terdakwa dengan cara sebagai berikut : ",O O B_DEFN I_DEFN O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
"- Pada tahun 2015 , berdasarkan keputusan PT . Sinar Puspa persada , Terdakwa dalam kedudukanya selaku Konsultan pembebasan lahan seratus dua puluh tujuh juta Sembilan ratus ribu rupiah ) tidak dipergunakan untuk pembayaran pembebasan lahan atas bidang lahan No . SHGB 1 An . Sata Bin Samaan seluas 2 . 762 m2 di Telaga Bestari , Kampung Sarongge , Desa Wanakerta , Pasar Kemis , Kabupaten Tangerang , Banten kepada Saksi Sopian melainkan dipergunakan untuk keperluan pribadi Terdakwa dengan penggunaan antara lain sebagai berikut : ",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
